UMPD Case Number,Date Occurred,Report Date,Crime Type,Disposition,LOCATION
2024-00190908,2024-11-01 00:00:00,2024-11-02 17:32:00,Assist Other Agency,CBE,4300 block of Knox Rd
2024-00190957,2024-11-02 20:11:00,2024-11-02 20:11:00,Injured/Sick Person,CBE,"Elkton, Elkton Hall at 3981 Denton Service Ln"
2024-00190990,2024-11-02 21:25:00,2024-11-02 21:25:00,Emergency Petition,CBE,McKeldin Mall
2024-00190999,2024-11-02 21:00:00,2024-11-02 22:14:00,Suspicious Activity,CBE,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
2024-00191008,2024-11-02 22:54:00,2024-11-02 22:54:00,Assist Other Agency,CBE,"Looney's Pub, The Varsity at 8150 Baltimore Ave"
2024-00191026,2024-10-03 00:22:00,2024-11-03 00:22:00,Injured/Sick Person,CBE,"9, Chapel, Memorial Chapel at 7744 Regents Dr"
2024-00191028,2024-11-03 00:30:00,2024-11-03 00:30:00,Injured/Sick Person,CBE,7400 block of Baltimore Ave
2024-00191041,2024-11-03 01:24:00,2024-11-03 01:24:00,Injured/Sick Person,CBE,"99, Bel Air, Bel Air Hall at 4213 Valley Dr"
2024-00191392,2024-11-03 11:24:00,2024-11-03 11:24:00,Injured/Sick Person,CBE,"78, Armory, Reckord Armory at 4490 Rossborough Ln"
2024-00191717,2024-11-02 20:11:00,2024-11-03 19:45:00,Theft,Investigation Pending,Lot 11b
2024-00191844,2024-11-04 00:00:00,2024-11-04 00:11:00,Injured/Sick Person,CBE,"Easton, Easton Hall at 3917 Denton Service Ln"
2024-00191894,2024-11-03 20:00:00,2024-11-04 00:54:00,Theft,Investigation Pending,"35, McKeldin Library at 7649 Library Ln"
2024-00192006,2024-11-04 06:33:00,2024-11-04 06:33:00,Dept Property Damage/Loss,CBE,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2024-00192078,2024-11-04 06:45:00,2024-11-04 08:19:00,Other Incident,Active/Pending,Lot N9
2024-00192262,2024-11-04 12:19:00,2024-11-04 12:19:00,Injured/Sick Person,CBE,6900 block of Preinkert Dr
2024-00192287,2024-11-04 13:05:00,2024-11-04 13:06:00,Injured/Sick Person,CBE,Lot Y
2024-00192345,2024-10-15 20:00:00,2024-11-04 14:25:00,Theft,Investigation Pending,"Commons 1, SCC 1, South Campus Commons 1 at 4250 Lehigh Rd"
2024-00192393,2024-11-02 22:15:00,2024-11-04 15:58:00,Hate Bias Incident,Active/Pending,La Plata Hall at 8160 La Plata Dr
2024-00192478,2024-11-04 14:30:00,2024-11-04 17:02:00,Theft,Investigation Pending,7800 block of Regents Dr
2024-00192505,2024-11-04 16:47:00,2024-11-04 17:54:00,Emergency Petition,CBE,4200 block of Knox Rd
2024-00192524,2024-11-04 16:00:00,2024-11-04 18:48:00,Theft,Investigation Pending,"A.V. Williams Building, AV Williams at 8223 Paint Branch Dr"
2024-00192527,2024-11-04 19:16:00,2024-11-04 19:16:00,Emergency Petition,CBE,4300 block of Knox Rd
2024-00192807,2024-11-05 02:04:00,2024-11-05 02:06:00,Theft,Summons Issued,"Easton, Easton Hall at 3917 Denton Service Ln"
2024-00193121,2024-11-04 17:00:00,2024-11-05 11:35:00,Extortion,Investigation Pending,3900 block of Denton Service Ln
2024-00193120,2024-11-05 11:36:00,2024-11-05 11:39:00,Accident,CBE,Geology Building at 8000 Regents Dr
2024-00193124,2024-11-05 12:04:00,2024-11-05 12:04:00,Accident - Departmental,Active/Pending,"Lot HH, PG1, ULG, Union Lane Garage, Union Lane Parking Garage at 4170 Union Ln"
2024-00193304,2024-11-05 20:00:00,2024-11-05 20:00:00,Injured/Sick Person,CBE,"E. A. Fernandez Idea Factory, Idea Factory at 4462 Stadium Dr"
2024-00193429,2024-11-05 20:30:00,2024-11-05 23:13:00,Extortion,Investigation Pending,3400 block of Tulane Dr
2024-00193785,2024-11-06 07:15:00,2024-11-06 09:31:00,Theft,Active/Pending,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2024-00193828,2024-11-06 09:42:00,2024-11-06 11:13:00,Other Incident,Active/Pending,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2024-00193958,2024-11-06 19:03:00,2024-11-06 19:03:00,Injured/Sick Person,CBE,"Commons 2, SCC 2, South Campus Commons 2 at 7524 Calvert Service Ln"
2024-00193961,2024-11-06 19:00:00,2024-11-06 19:19:00,Emergency Petition,CBE,4300 block of Knox Rd
2024-00193964,2024-10-12 10:00:00,2024-11-06 21:04:00,Theft,Investigation Pending,University Courtyard #7 at 8700 Boteler Ln
2024-00194163,2024-11-07 00:00:00,2024-11-07 00:14:00,Other Incident,Active/Pending,"Oakland, Oakland Hall at 3912 Denton Service Ln"
2024-00194631,2024-11-04 23:00:00,2024-11-07 16:00:00,Theft,Unfounded,"63, Somerset, Somerset Hall at 7567 Preinkert Dr"
2024-00194651,2024-11-07 17:14:00,2024-11-07 17:14:00,Emergency Petition,CBE,"37, Shoemaker, Shoemaker Building at 4281 Chapel Ln"
2024-00194681,2024-11-07 18:56:00,2024-11-07 18:56:00,Weapon Violation,CBE,", Elkins, Elkins Building, Systems Office, UM Systems Office at 3300 Metzerott Rd"
2024-00194687,2024-11-07 19:22:00,2024-11-07 19:22:00,Trespassing,CBE,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2024-00194720,2024-11-07 21:28:00,2024-11-07 21:28:00,Assist Other Agency,CBE,"Cornerstone, Cornerstone Grill at 7325 Baltimore Ave"
2024-00194731,2024-11-07 21:45:00,2024-11-07 21:45:00,Injured/Sick Person,CBE,4200 block of Farm Dr
2024-00194960,2024-11-08 01:02:00,2024-11-08 01:02:00,DWI/DUI,Arrest,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2024-00195180,2024-11-08 08:53:00,2024-11-08 08:53:00,Injured/Sick Person,CBE,3900 block of Denton Service Ln
2024-00195191,2024-11-07 23:00:00,2024-11-08 09:42:00,Theft,Active/Pending,"32, Montgomery, Montgomery Hall at 7570 Regents Dr"
2024-00195208,2024-11-07 21:00:00,2024-11-08 10:15:00,Theft,Active/Pending,"32, Montgomery, Montgomery Hall at 7570 Regents Dr"
2024-00195218,2024-11-08 10:44:00,2024-11-08 10:44:00,Emergency Petition,CBE,"82, John S. Toll Physics Building, Physics, Physics Building at 4150 Campus Dr"
2024-00195221,2024-11-08 11:29:00,2024-11-08 11:29:00,Recovered Stolen Property,Arrest,West Gate at 3841 Stadium Dr
2024-00195248,2024-11-07 20:30:00,2024-11-08 14:21:00,Theft,Active/Pending,"32, Montgomery, Montgomery Hall at 7570 Regents Dr"
2024-00195249,2024-11-08 14:28:00,2024-11-08 14:34:00,Suspicious Person/Auto,Investigation Pending,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2024-00195250,2024-11-08 12:00:00,2024-11-08 14:35:00,Burglary,Active/Pending,4000 block of Stadium Dr
2024-00195714,2024-11-08 22:19:00,2024-11-08 22:19:00,Injured/Sick Person,CBE,"Riggs, Riggs Alumni, Riggs Alumni Center at 7801 Alumni Dr"
2024-00195885,2024-11-09 02:40:00,2024-11-09 02:40:00,Injured/Sick Person,CBE,3900 block of Denton Service Ln
2024-00195897,2024-11-09 03:03:00,2024-11-09 03:03:00,Injured/Sick Person,CBE,4200 block of Lehigh Rd
2024-00196483,2024-11-09 21:36:00,2024-11-09 21:51:00,Vandalism,Active/Pending,"Ellicott, Ellicott Hall at 4052 Stadium Dr"
2024-00196844,2024-11-10 03:49:00,2024-11-10 03:49:00,CDS Violation,Arrest,"Brendan Iribe Center, Iribe Center at 8125 Paint Branch Dr"
2024-00196964,2024-11-10 12:20:00,2024-11-10 12:34:00,Injured/Sick Person,CBE,"Recreation Artificial Turf Field, Turf Field, Turf Fields"
2024-00196970,2024-11-10 03:00:00,2024-11-10 12:53:00,Vandalism,Investigation Pending,University Courtyard #2 at 8200 Boteler Ln
2024-00197370,2024-11-10 22:21:00,2024-11-10 22:21:00,DWI/DUI,Arrest,Curry Dr
2024-00197844,2024-11-11 12:35:00,2024-11-11 12:42:00,Accident,CBE,Knox Rd
2024-00197860,2024-11-11 14:00:00,2024-11-11 14:32:00,Other Incident,CBE,"DOTS, Lot B, Lot RR, PG2, RDG, Regents Drive Parking Garage, WAM Lab at 8056 Regents Dr"
2024-00197862,2024-11-11 14:49:00,2024-11-11 14:49:00,Suspicious Activity,CBE,McKeldin Mall
2024-00197896,2024-11-11 16:04:00,2024-11-11 16:04:00,Suspicious Person/Auto,Active/Pending,"99, Bel Air, Bel Air Hall at 4213 Valley Dr"
2024-00197972,2024-11-11 18:18:00,2024-11-11 18:28:00,Assist Other Agency,CBE,Baltimore Ave
2024-00198504,2024-11-12 05:40:00,2024-11-12 09:24:00,Theft,Active/Pending,Lot 8
2024-00198503,2024-11-12 09:00:00,2024-11-12 09:25:00,Damage to State Property,CBE,"A James Clark Hall, A. James Clark Hall, A.J. Clark Hall, Clark, Clark Hall at 8278 Paint Branch Dr"
2024-00198937,2024-11-12 08:00:00,2024-11-12 20:49:00,Fraud,Active/Pending,"98, Centreville, Centreville Hall at 4243 Valley Dr"
2024-00198953,2024-10-20 08:00:00,2024-11-12 21:16:00,Theft,Investigation Pending,"Commons 1, SCC 1, South Campus Commons 1 at 4250 Lehigh Rd"
2024-00199092,2024-11-12 23:43:00,2024-11-12 23:43:00,CDS Violation,CBE,Washington Quad
2024-00199259,2024-11-13 03:00:00,2024-11-13 03:30:00,Domestic,Arrest,3400 block of Tulane Dr
2024-00199473,2024-11-11 00:00:00,2024-11-13 11:33:00,Vandalism,Active/Pending,7500 block of Yale Ave
2024-00199523,2024-11-13 13:53:00,2024-11-13 13:52:00,Injured/Sick Person,CBE,Health Center at 3983 Campus Dr
2024-00199552,2024-11-08 10:35:00,2024-11-13 15:39:00,Assault,Summons Issued,"82, John S. Toll Physics Building, Physics, Physics Building at 4150 Campus Dr"
2024-00199556,2024-11-08 10:35:00,2024-11-13 15:39:00,Assault,Summons Issued,Chapel Ln
2024-00199925,2024-11-12 08:45:00,2024-11-13 21:12:00,Other Incident,CBE,"84, Kirwan Hall, Mathematics Building, William E. Kirwan Hall at 4176 Campus Dr"
2024-00200197,2024-11-14 00:56:00,2024-11-14 00:56:00,Assist Other Agency,CBE,"Kung Fu Tea, Pho Thom, Ritchie's Columbian at 7313 Baltimore Ave"
2024-00200696,2024-11-08 00:00:00,2024-11-14 11:47:00,Other Incident,CBE,11700 Old Columbia Park
2024-00200763,2024-11-14 13:50:00,2024-11-14 13:57:00,Injured/Sick Person,CBE,"Frat 3, TKE, Zeta Beta Tau, Zeta Beta Tau Fraternity at 3 Fraternity Row"
2024-00200781,2024-11-14 15:00:00,2024-11-14 15:45:00,Injured/Sick Person,CBE,Yahentamitsi at 4136 Stadium Dr
2024-00200809,2024-09-14 15:00:00,2024-11-14 17:28:00,Other Incident,CBE,4100 block of Stadium Dr
2024-00200828,2024-11-13 02:50:00,2024-11-14 17:46:00,Vandalism,Active/Pending,University Courtyard #5 at 8500 Boteler Ln
2024-00200831,2024-11-14 16:26:00,2024-11-14 17:59:00,Telephone/EMail Misuse,Active/Pending,8500 block of Paint Branch Dr
2024-00200888,2024-11-14 19:24:00,2024-11-14 19:41:00,Theft,Investigation Pending,"4, Ritchie Coliseum at 7675 Baltimore Ave"
2024-00200911,2024-11-14 20:36:00,2024-11-14 20:36:00,Assist Other Agency,CBE,Baltimore Ave
2024-00201124,2024-11-15 00:14:00,2024-11-15 00:14:00,Injured/Sick Person,CBE,3400 block of Tulane Dr
2024-00201235,2024-11-15 02:16:00,2024-11-15 02:16:00,Injured/Sick Person,CBE,"32, Montgomery, Montgomery Hall at 7570 Regents Dr"
2024-00201444,2024-11-14 10:00:00,2024-11-15 10:34:00,Theft,Investigation Pending,"82, John S. Toll Physics Building, Physics, Physics Building at 4150 Campus Dr"
2024-00201551,2024-11-15 15:59:00,2024-11-15 15:59:00,Suspicious Person/Auto,CBE,"62, St Marys Hall, St. Mary's, St. Mary's Hall at 3949 Campus Dr"
2024-00201571,2024-11-15 17:17:00,2024-11-15 17:17:00,Injured/Sick Person,CBE,"26, South Campus Dining Hall at 7093 Preinkert Dr"
2024-00201613,2024-11-15 14:00:00,2024-11-15 18:05:00,Theft,Active/Pending,"Brendan Iribe Center, Iribe Center at 8125 Paint Branch Dr"
2024-00201764,2024-11-16 00:48:00,2024-11-16 00:48:00,Injured/Sick Person,CBE,Hagerstown Hall at 8075 Hagerstown Dr
2024-00201807,2024-11-16 01:25:00,2024-11-16 01:25:00,Emergency Petition,CBE,7000 block of Preinkert Dr
2024-00201821,2024-11-16 01:15:00,2024-11-16 01:41:00,Vandalism,Active/Pending,"70, Caroline Hall at 7154 Preinkert Dr"
2024-00202174,2024-11-16 14:50:00,2024-11-16 15:00:00,Dept Property Damage/Loss,CBE,Lot 11b
2024-00202207,2024-11-11 08:00:00,2024-11-16 16:12:00,Stolen Motor Vehicle,Active/Pending,University Courtyard #6 at 8600 Boteler Ln
2024-00202238,2024-11-16 17:48:00,2024-11-16 17:48:00,Injured/Sick Person,CBE,Lot 9b
2024-00202248,2024-11-16 18:37:00,2024-11-16 18:37:00,Disorderly Conduct,CBE,"Capital One Field, Football Stadium, SECU Stadium"
2024-00202279,2024-11-16 19:00:00,2024-11-16 19:25:00,Assault,Active/Pending,"Capital One Field, Football Stadium, SECU Stadium"
2024-00202292,2024-11-15 20:26:00,2024-11-16 20:26:00,Vandalism,Investigation Pending,4000 block of Stadium Dr
2024-00202293,2024-11-16 18:30:00,2024-11-16 20:36:00,Damage to State Property,CBE,"Lot HH, PG1, ULG, Union Lane Garage, Union Lane Parking Garage at 4170 Union Ln"
2024-00202317,2024-11-16 22:54:00,2024-11-16 22:54:00,Alcohol Violation,Arrest,Knox Rd
2024-00203216,2024-11-17 23:45:00,2024-11-17 23:45:00,Damage to State Property,CBE,"Cole, Cole Field House, Cole Student Activities Building, Driskell Center at 4090 Union Dr"
2024-00203641,2024-11-18 09:43:00,2024-11-18 09:43:00,Injured/Sick Person,CBE,"68, Eppley, Eppley Recreation Center, ERC at 4128 Valley Dr"
2024-00203647,2024-11-16 22:30:00,2024-11-18 10:15:00,Theft,Investigation Pending,"Commons 1, SCC 1, South Campus Commons 1 at 4250 Lehigh Rd"
2024-00203707,2024-11-12 02:45:00,2024-11-18 11:38:00,Burglary,Active/Pending,5600 block of Rivertech Ct
2024-00203735,2024-11-18 12:55:00,2024-11-18 12:55:00,Injured/Sick Person,CBE,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2024-00203746,2024-11-18 12:00:00,2024-11-18 13:25:00,Injured/Sick Person,CBE,Health Center at 3983 Campus Dr
2024-00203763,2024-11-18 13:54:00,2024-11-18 13:54:00,Other Incident,CBE,4300 block of Rowalt Dr
2024-00203772,2024-11-18 14:08:00,2024-11-18 14:08:00,Emergency Petition,CBE,4700 block of Berwyn House Rd
2024-00203773,2024-11-18 14:18:00,2024-11-18 14:18:00,Emergency Petition,CBE,Health Center at 3983 Campus Dr
2024-00203936,2024-11-14 00:00:00,2024-11-18 18:52:00,Assist Other Agency,Active/Pending,6000 block of Osage St
2024-00204049,2024-11-18 00:00:00,2024-11-18 21:37:00,Theft,Unfounded,4300 block of Rowalt Dr
2024-00204537,2024-11-08 02:00:00,2024-11-19 11:27:00,Suspicious Activity,Active/Pending,"Physical Sciences Complex, PSC at 4296 Stadium Dr"
2024-00204574,2024-11-19 12:15:00,2024-11-19 12:15:00,Other Incident,CBE,"91, Chemistry, Chemistry Building at 8051 Regents Dr"
2024-00204647,2024-11-14 12:00:00,2024-11-19 15:21:00,Theft,Active/Pending,"35, McKeldin Library at 7649 Library Ln"
2024-00204768,2024-11-19 19:57:00,2024-11-19 19:57:00,Assist Other Agency,CBE,4700 block of Norwich Rd
2024-00204811,2024-11-19 20:45:00,2024-11-19 21:54:00,Assist Other Agency,CBE,4300 block of Knox Rd
2024-00205452,2024-11-11 21:00:00,2024-11-20 16:27:00,Theft,Investigation Pending,"Leonardtown, Leonardtown #201, Leonardtown Apartment, Leonardtown Office Building at 4725 Rossborough Ln"
2024-00205467,2024-11-20 16:56:00,2024-11-20 16:56:00,Assist Other Agency,CBE,4600 block of College Ave
2024-00205533,2024-11-20 18:31:00,2024-11-20 18:31:00,Assist Other Agency,CBE,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2024-00205550,2024-11-20 19:22:00,2024-11-20 19:22:00,Assist Other Agency,CBE,8200 block of Baltimore Ave
2024-00205835,2024-11-20 21:50:00,2024-11-21 03:10:00,Pedestrian Struck,CBE,"Elkton, Elkton Hall at 3981 Denton Service Ln"
2024-00206049,2024-11-20 18:30:00,2024-11-21 11:07:00,Lost Property,Active/Pending,"Dairy, Stamp, Stamp Student Union, Student Union, Union at 3972 Campus Dr"
2024-00206234,2024-11-21 15:45:00,2024-11-21 15:45:00,Emergency Petition,CBE,4200 block of Chapel Ln
2024-00206282,2024-11-21 17:45:00,2024-11-21 17:45:00,Injured/Sick Person,CBE,Yahentamitsi at 4136 Stadium Dr
2024-00206415,2024-11-18 12:00:00,2024-11-21 21:19:00,Other Incident,Active/Pending,8100 block of La Plata Dr
2024-00206445,2024-11-21 16:00:00,2024-11-21 22:10:00,Theft,Investigation Pending,"Atlantic Building, Computer & Space Sciences Building at 4254 Stadium Dr"
2024-00207050,2024-11-22 12:48:00,2024-11-22 12:48:00,Other Incident,CBE,4300 block of Hartwick Rd
2024-00207217,2024-11-22 16:22:00,2024-11-22 16:22:00,Injured/Sick Person,CBE,"Ellicott, Ellicott Hall at 4052 Stadium Dr"
2024-00207456,2024-11-22 10:00:00,2024-11-22 20:27:00,Injured/Sick Person,CBE,Campus Dr
2024-00207493,2024-11-22 21:00:00,2024-11-22 21:51:00,Injured/Sick Person,CBE,"32, Montgomery, Montgomery Hall at 7570 Regents Dr"
2024-00207527,2024-11-22 22:32:00,2024-11-22 22:32:00,CDS Violation,Active/Pending,"Commons 2, SCC 2, South Campus Commons 2 at 7524 Calvert Service Ln"
2024-00207539,2024-11-22 19:00:00,2024-11-22 23:07:00,Found/Recovered Property,CBE,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2024-00207590,2024-11-23 00:30:00,2024-11-23 00:30:00,Injured/Sick Person,CBE,7600 block of Preinkert Dr
2024-00207826,2024-11-23 12:52:00,2024-11-23 12:52:00,Emergency Petition,CBE,"Capital One Field, Football Stadium, SECU Stadium"
2024-00207871,2024-11-23 09:30:00,2024-11-23 14:10:00,Vandalism,Investigation Pending,Lot KK
2024-00208050,2024-11-23 16:17:00,2024-11-23 19:34:00,Assist Other Agency,CBE,"College Park Shopping Center, CVS at 7300 Baltimore Ave"
2024-00208054,2024-11-23 19:50:00,2024-11-23 19:50:00,Assist Other Agency,CBE,"Lot 19, Lot U2, MLG, Mowatt Garage, Mowatt Lane Parking Garage, PG5 at 7591 Mowatt Ln"
2024-00208102,2024-11-23 22:56:00,2024-11-23 22:56:00,Damage to State Property,Active/Pending,West Gate at 3841 Stadium Dr
2024-00208160,2024-11-23 23:58:00,2024-11-23 23:58:00,Injured/Sick Person,CBE,"Pyon Chen, Pyon-Chen Hall at 8097 La Plata Dr"
2024-00208195,2024-11-24 00:37:00,2024-11-24 00:37:00,Injured/Sick Person,CBE,Lot N3
2024-00208261,2024-11-24 02:25:00,2024-11-24 02:25:00,Assist Other Agency,CBE,7300 block of Baltimore Ave
2024-00208270,2024-11-24 02:51:00,2024-11-24 02:51:00,DWI/DUI,Arrest,University Blvd
2024-00208286,2024-11-24 04:50:00,2024-11-24 04:50:00,DWI/DUI,Arrest,"MFRI, MFRI Office/Classroom Building at 4500 Campus Dr"
2024-00208369,2024-11-24 06:55:00,2024-11-24 07:05:00,Check on the  Welfare,CBE,8000 block of La Plata Dr
2024-00208910,2024-11-21 11:00:00,2024-11-24 18:27:00,Fraud,Investigation Pending,4000 block of Stadium Dr
2024-00208987,2024-11-24 19:45:00,2024-11-24 20:07:00,Assist Other Agency,CBE,7400 block of Princeton Ave
2024-00209002,2024-10-06 00:00:00,2024-11-24 21:18:00,Suspicious Person/Auto,Active/Pending,La Plata Hall at 8160 La Plata Dr
2024-00209008,2024-11-24 16:30:00,2024-11-24 21:58:00,Assist Other Agency,CBE,Clopper Rd / Game Preserve Rd
2024-00209233,2024-11-25 02:25:00,2024-11-25 02:46:00,Assist Other Agency,CBE,4321 Hartwick Rd
2024-00209390,2024-11-25 07:15:00,2024-11-25 07:19:00,Accident - Departmental,CBE,"7, Pocomoke, Pocomoke Building, Police, UMDPS, UMPD at 7569 Baltimore Ave"
2024-00209823,2024-11-25 14:20:00,2024-11-25 15:00:00,Injured/Sick Person,CBE,8200 block of Paint Branch Dr
2024-00210074,2024-11-25 18:54:00,2024-11-25 18:54:00,Assist Other Agency,CBE,"52, Clarence M. Mitchell, Jr. Building, Mitchell Building, North Administration at 7999 Regents Dr"
2024-00210271,2024-11-25 23:33:00,2024-11-25 23:33:00,Found/Recovered Property,CBE,Baltimore Ave
2024-00210272,2024-11-25 20:30:00,2024-11-25 23:40:00,Theft,CBE,"Commons 7, SCC 7, South Campus Commons 7 at 6801 Preinkert Dr"
2024-00210884,2024-10-29 12:00:00,2024-11-26 15:27:00,Telephone/EMail Misuse,CBE,8100 block of La Plata Dr
2024-00210906,2024-11-26 16:33:00,2024-11-26 16:33:00,Injured/Sick Person,CBE,7100 block of Preinkert Dr
2024-00211650,2024-11-27 15:18:00,2024-11-27 15:18:00,Injured/Sick Person,CBE,"Looney's Pub, The Varsity at 8150 Baltimore Ave"
2024-00211652,2024-11-27 15:38:00,2024-11-27 15:38:00,DWI/DUI,Arrest,Paint Branch Dr
2024-00211670,2024-11-27 16:35:00,2024-11-27 17:05:00,Disorderly Conduct,CBE,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
2024-00211722,2024-11-27 15:00:00,2024-11-27 19:04:00,Theft,Active/Pending,"Comcast Center, Xfinity, Xfinity Center at 8500 Paint Branch Dr"
2024-00211903,2024-11-28 00:54:00,2024-11-28 00:54:00,DWI/DUI,Arrest,Baltimore Ave
2024-00211904,2024-11-28 01:11:00,2024-11-28 01:11:00,DWI/DUI,Arrest,Wb University Blvd Ofrp Nb Adelphi Rd
2024-00212055,2024-11-27 18:00:00,2024-11-28 08:43:00,Theft,Active/Pending,3400 block of Tulane Dr
2024-00212247,2024-11-25 09:00:00,2024-11-28 16:49:00,Theft,Unfounded,Johnson-Whittle Hall at 4118 Stadium Dr
2024-00212582,2024-11-29 02:54:00,2024-11-29 02:54:00,DWI/DUI,Arrest,Adelphi Rd
2024-00214016,2024-11-30 17:55:00,2024-11-30 17:55:00,Recovered Stolen Property,Arrest,North Gate at 4306 Campus Dr
2024-00214064,2024-11-30 19:10:00,2024-11-30 19:10:00,DWI/DUI,Arrest,University Blvd
2024-00214132,2024-11-30 20:48:00,2024-11-30 20:49:00,Injured/Sick Person,CBE,Lot 4B
2024-00214548,2024-12-01 02:20:00,2024-12-01 02:20:00,DWI/DUI,Arrest,University Blvd
2024-00214561,2024-12-01 02:20:00,2024-12-01 02:55:00,Injured/Sick Person,CBE,University Blvd
2024-00214563,2024-12-01 03:02:00,2024-12-01 03:02:00,DWI/DUI,Arrest,University Blvd
2024-00214591,2024-12-01 03:45:00,2024-12-01 04:27:00,Other Incident,Active/Pending,Stadium Dr
2024-00215137,2024-11-25 13:00:00,2024-12-01 18:45:00,Fraud,Active/Pending,4200 block of Valley Dr
2024-00215237,2024-12-01 20:20:00,2024-12-01 20:33:00,Vandalism,Active/Pending,7100 block of Preinkert Dr
2024-00215827,2024-12-01 14:00:00,2024-12-02 08:45:00,Vandalism,Active/Pending,8200 block of Paint Branch Dr
2024-00215883,2024-12-02 06:35:00,2024-12-02 10:01:00,Assist Other Agency,CBE,4600 block of College Ave
2024-00215899,2024-12-01 17:30:00,2024-12-02 11:36:00,Injured/Sick Person,CBE,Lot A
2024-00215998,2024-12-02 13:58:00,2024-12-02 13:58:00,Accident,CBE,"Cole, Cole Field House, Cole Student Activities Building, Driskell Center at 4090 Union Dr"
2024-00216097,2024-11-26 17:00:00,2024-12-02 15:16:00,Theft,Active/Pending,La Plata Hall at 8160 La Plata Dr
2024-00216158,2024-12-02 15:45:00,2024-12-02 15:54:00,Assist Other Agency,CBE,4600 block of Drexel Rd
2024-00216249,2024-12-02 17:15:00,2024-12-02 17:40:00,Theft,Unfounded,"Leonardtown #247, Leonardtown  at 4713 Rossborough Ln"
2024-00216307,2024-12-02 15:30:00,2024-12-02 18:50:00,Theft,Active/Pending,"35, McKeldin Library at 7649 Library Ln"
2024-00216755,2024-12-03 07:00:00,2024-12-03 07:11:00,Injured/Sick Person,CBE,Cumberland Hall at 4250 Farm Dr
2024-00216757,2024-12-03 06:50:00,2024-12-03 07:19:00,Theft,Active/Pending,"34, Jimenez, Jimenez Hall at 4125 N Library Ln"
2024-00217159,2024-12-03 16:30:00,2024-12-03 18:17:00,Injured/Sick Person,CBE,8600 block of Baltimore Ave
2024-00217211,2024-12-03 17:15:00,2024-12-03 20:49:00,Theft,Active/Pending,"63, Somerset, Somerset Hall at 7567 Preinkert Dr"
2024-00217217,2024-12-03 17:17:00,2024-12-03 21:06:00,Other Incident,Active/Pending,"99, Bel Air, Bel Air Hall at 4213 Valley Dr"
2024-00217636,2024-12-04 05:00:00,2024-12-04 07:37:00,Injured/Sick Person,CBE,6800 block of Preinkert Dr
2024-00217784,2024-12-04 10:09:00,2024-12-04 10:09:00,Assist Other Agency,CBE,Adelphi Rd
2024-00217860,2024-12-04 12:40:00,2024-12-04 12:51:00,Other Incident,CBE,Manokin Building at 5801 University Research Ct
2024-00218048,2024-12-04 19:01:00,2024-12-04 19:39:00,Injured/Sick Person,CBE,8700 block of Boteler Ln
2024-00218078,2024-12-04 20:45:00,2024-12-04 20:45:00,Injured/Sick Person,CBE,"Lot HH, PG1, ULG, Union Lane Garage, Union Lane Parking Garage at 4170 Union Ln"
2024-00218088,2024-12-04 21:47:00,2024-12-04 21:47:00,Injured/Sick Person,CBE,"Recreation Artificial Turf Field, Turf Field, Turf Fields"
2024-00218599,2024-12-05 11:19:00,2024-12-05 11:19:00,Injured/Sick Person,CBE,Varsity Sports Teamhouse at 4117 Stadium Dr
2024-00218739,2024-11-04 15:00:00,2024-12-05 18:28:00,Injured/Sick Person,CBE,"Hornbake, Hornbake Library at 4130 Campus Dr"
2024-00219450,2024-12-06 11:55:00,2024-12-06 12:01:00,Damage to State Property,CBE,4000 block of Campus Dr
2024-00221945,2024-12-09 17:50:00,2024-12-09 18:05:00,Suspicious Activity,Active/Pending,7800 block of Regents Dr
2024-00221984,2024-12-09 22:13:00,2024-12-09 22:13:00,Assist Other Agency,CBE,Lakeland Rd
2024-00222028,2024-12-09 23:25:00,2024-12-09 23:25:00,Trespassing,Arrest,"Architecture, Architecture Building at 3835 Campus Dr"
2025-00000044,2025-01-01 01:10:00,2025-01-01 01:10:00,DWI/DUI,Arrest,Adelphi Rd
2025-00000055,2025-01-01 01:48:00,2025-01-01 01:48:00,DWI/DUI,Arrest,University Blvd
2025-00000056,2025-01-01 01:49:00,2025-01-01 01:49:00,Assist Other Agency,CBE,7500 block of Girard Ave
2025-00000083,2024-12-29 21:00:00,2025-01-01 03:41:00,Dept Property Damage/Loss,CBE,7500 block of Baltimore Ave
2025-00000128,2025-01-01 05:45:00,2025-01-01 05:45:00,DWI/DUI,Arrest,Adelphi Rd
